City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,kwang binh,17.4833,106.6,297.0,96,100,3.77,VN,2023-10-13 05:23:51
95,berdigestyakh,62.0989,126.6992,271.09,69,97,5.81,RU,2023-10-13 05:23:52
96,talnakh,69.4865,88.3972,272.71,95,100,2.1,RU,2023-10-13 05:23:53
97,bubaque,11.2833,-15.8333,300.78,77,100,1.5,GW,2023-10-13 05:23:54
98,mokhsogollokh,61.4681,128.9203,274.94,96,96,5.23,RU,2023-10-13 05:23:54
99,bambanglipuro,-7.95,110.2833,303.07,59,64,7.53,ID,2023-10-13 05:23:55
100,ntoum,0.3833,9.7833,297.02,95,99,0.83,GA,2023-10-13 05:23:56
101,port saint john's,-31.6229,29.5448,291.19,73,0,1.67,ZA,2023-10-13 05:23:56
102,nueva loja,0.0847,-76.8828,296.11,83,63,0.68,EC,2023-10-13 05:23:57
103,whitehorse,60.7161,-135.0538,280.58,88,100,7.72,CA,2023-10-13 05:23:58
104,nahiyat ash shinafiyah,31.5874,44.6602,303.07,27,39,3.7,IQ,2023-10-13 05:23:59
105,flying fish cove,-10.4217,105.6791,299.97,78,100,5.66,CX,2023-10-13 05:23:59
106,kirensk,57.7853,108.1119,278.16,73,100,2.24,RU,2023-10-13 05:24:00
107,gadzhiyevo,69.2551,33.3362,276.87,72,100,9.68,RU,2023-10-13 05:24:01
108,luna,10.9667,123.2333,302.63,74,39,3.19,PH,2023-10-13 05:24:01
109,cuito,-12.3833,16.9333,290.72,70,67,1.73,AO,2023-10-13 05:24:02
110,olonkinbyen,70.9221,-8.7187,272.03,86,96,9.79,SJ,2023-10-13 05:24:03
111,petrozavodsk,61.7849,34.3469,277.88,87,100,8.05,RU,2023-10-13 05:24:04
112,arraial do cabo,-22.9661,-42.0278,295.29,97,100,5.96,BR,2023-10-13 05:24:05
113,loch garman,52.3342,-6.4575,285.49,100,100,2.68,IE,2023-10-13 05:24:05
114,sitka,57.0531,-135.33,287.09,72,100,9.26,US,2023-10-13 05:24:06
115,isafjordur,66.0755,-23.124,271.87,87,100,10.33,IS,2023-10-13 05:24:06
116,harnai,30.1005,67.9374,302.29,13,2,2.04,PK,2023-10-13 05:24:07
117,edinburgh of the seven seas,-37.0676,-12.3116,286.09,83,100,5.23,SH,2023-10-13 05:24:08
118,merizo village,13.2658,144.6691,299.46,94,100,7.77,GU,2023-10-13 05:24:09
119,atafu village,-8.5421,-172.5159,301.68,78,100,8.0,TK,2023-10-13 05:24:10
120,borzya,50.3833,116.5167,288.87,34,1,4.08,RU,2023-10-13 05:24:11
121,ilulissat,69.2167,-51.1,271.16,59,100,3.6,GL,2023-10-13 05:24:11
122,kuqa,41.7278,82.9364,294.51,25,6,0.78,CN,2023-10-13 05:24:12
123,puerto madero,14.7208,-92.4215,301.04,80,100,2.93,MX,2023-10-13 05:24:13
124,margaret river,-33.95,115.0667,295.1,48,0,4.48,AU,2023-10-13 05:24:13
125,camiri,-20.05,-63.5167,288.56,61,99,1.73,BO,2023-10-13 05:24:14
126,souillac,-20.5167,57.5167,298.36,69,75,2.06,MU,2023-10-13 05:24:15
127,igarka,67.4667,86.5833,274.68,87,98,2.91,RU,2023-10-13 05:24:16
128,malango,-2.9627,119.9001,300.78,57,64,2.0,ID,2023-10-13 05:24:16
129,urzhar,47.093,81.6294,293.04,33,100,0.94,KZ,2023-10-13 05:24:17
130,puerto ayora,-0.7393,-90.3518,296.58,85,44,3.45,EC,2023-10-13 05:24:18
131,fauske,67.2588,15.3918,274.17,84,35,2.87,NO,2023-10-13 05:24:19
132,kuanda,56.3161,116.0806,283.97,39,48,2.52,RU,2023-10-13 05:24:19
133,haiku-pauwela,20.9219,-156.3051,298.17,81,40,6.17,US,2023-10-13 05:24:20
134,hotan,37.0997,79.9269,295.31,15,0,4.59,CN,2023-10-13 05:24:21
135,kapuskasing,49.4169,-82.4331,280.2,93,75,1.54,CA,2023-10-13 05:24:21
136,suva,-18.1416,178.4415,298.86,73,75,3.6,FJ,2023-10-13 05:24:22
137,pacific grove,36.6177,-121.9166,288.72,74,0,3.6,US,2023-10-13 05:24:23
138,zahedan,29.4963,60.8629,296.1,31,0,2.06,IR,2023-10-13 05:24:23
139,ushtobe,45.2514,77.9838,290.92,49,100,4.74,KZ,2023-10-13 05:24:24
140,fale old settlement,-9.3852,-171.2468,301.88,77,32,8.59,TK,2023-10-13 05:24:25
141,vilyuchinsk,52.9306,158.4028,281.3,86,97,2.94,RU,2023-10-13 05:24:25
142,vila do maio,15.1333,-23.2167,298.59,75,100,0.99,CV,2023-10-13 05:24:26
143,tonj,7.2737,28.6822,296.72,84,4,0.83,SS,2023-10-13 05:24:27
144,stanley,54.868,-1.6985,281.92,89,40,1.54,GB,2023-10-13 05:24:28
145,aflou,34.1128,2.1023,286.2,47,0,2.03,DZ,2023-10-13 05:24:28
146,midelt,32.6852,-4.7451,289.26,43,5,1.78,MA,2023-10-13 05:24:29
147,chinchilla,-26.75,150.6333,301.43,14,0,8.7,AU,2023-10-13 05:24:30
148,ghanzi,-21.5667,21.7833,292.2,28,20,4.44,BW,2023-10-13 05:24:30
